i,pio,tro,,,,,prz,,,,,,,,,,,
ii,jed,pal,,,,,tro,,,,,,,,,sze,,
iii,gon,,,,,,,,haz,,,,,,,,,
iv,,,,,,,,,,,,,kaj,tro,,rez,,
v,wie,,,,,,row,,,,,,,,,,,
vi,,,,,,,lun,,,,,,mag,,,,,
vii,bro,,,,,,,,,,,,,,,age,pow,
viii,ant,,,,,,,,,,,,,,,kop,,
ix,kol,,,,,izo,dzi,,,,min,,,,,szy,,
x,,,,,,,aut,,,,,,,,,,,
xi,gra,zaw,,,,,,,,,,,,,,,,
xii,,,,,,,ban,,kos,,dzi,,,,,,,
xiii,kra,okr,,,,,,,,,,,,,,pal,,
xiv,,,,,,,ska,,tet,,,,,,,klo,,
xv,pla,,,,,,,,,,,,kup,,,,,
xvi,,,,,,,,,arc,,,,,,,,,
xvii,kor,,,,,,,,,,,,zab,,,pil,,
xviii,liz,,,,,,roz,,,,,,imp,,,met,,
xix,odl,,,,,,okr,roz,sza,,,,,,,,,
xx,,,,,,,luk,,,,,,,,,gdz,,
xxi,kur,,,,,,prz,,,,far,,,,,pan,,
xxii,kin,,,,,,,,,,,,wil,,,kol,,
xxiii,,,,,,,dro,zaj,,,,,zyw,,,,,
xxiv,fla,,,,,,sum,,kon,,piz,,zap,,,,,
xxv,pio,pla,pow,pra,roz,,dro,,tel,tom,dwa,,kom,ogr,,ddl,tak,wie
xxvi,klu,nie,par,pod,rob,,gwi,kol,,,,,,,,dlu,,
xxvii
xxviii,gan,,,,,,,,,,,,,,,,,
xxix
xxx
xxxi,cza,,,,,,lic,ryc,,,,,,,,,,
